Song,Lyrics
Tornado Warnings,Don't understand how quickly we get
Tornado Warnings,Right back in our rhythm without missing a step
Tornado Warnings,And logically the last thing I should have on my mind
Tornado Warnings,But I want you there sometimes
Tornado Warnings,I guess maybe that's why I'm lying to my therapist
Tornado Warnings,"I keep saying things like, ""I never saw him and we never kissed"""
Tornado Warnings,Now I think somehow in my mind
Tornado Warnings,"If I could convince him, if he doesn't see it, then maybe it doesn't exist"
Tornado Warnings,I think he's onto me every time I say I'm over that son of a bitch
Tornado Warnings,I'm lying to my therapist
Tornado Warnings,"I'll drive you home, you drive me crazy"
Tornado Warnings,But that's not gonna stop me
Tornado Warnings,"I'll call you out, you call me ""baby"""
Tornado Warnings,But that's not gonna stop me
Tornado Warnings,From lying to my therapist
Tornado Warnings,"I keep saying things like, ""I never saw him and we never kissed"""
Tornado Warnings,Now I think somehow in my mind
Tornado Warnings,"If I could convince him, if he doesn't see it, then maybe it doesn't exist"
Tornado Warnings,I think he's onto me every time I say I'm over that son of a bitch
Tornado Warnings,I'm lying to my therapist
Read Your Mind,Ah
Read Your Mind,Made it clear when you told me 
Read Your Mind,"Don't know why, but you gotta be lonely "
Read Your Mind,"Say it's hard, but you make it look easy "
Read Your Mind,So I'm tryin' to live in reality 
Read Your Mind,"Decompressin', tryna ease the tension, but you"
Read Your Mind,"Got me stressin', feelin' like I need to call when"
Read Your Mind,"You sneak up on me, tell me that you miss me in your life"
Read Your Mind,I can't read your mind
Read Your Mind,You say that you need to be alone
Read Your Mind,"But night and day, want me at your beck and call"
Read Your Mind,You say you know that you might be crossin' a line
Read Your Mind,Wastin' all our time
Read Your Mind,To think that we could be casual
Read Your Mind,"You're not my friend and, baby, you never were"
Read Your Mind,Why the fuss if you say you just wanna be mine?
Read Your Mind,I can't read your mind
Read Your Mind,"Tell me, what's gonna happen"
Read Your Mind,"When it's you and me in a room, but you know you can't have it?"
Read Your Mind,"Oh, I'll be laughin'"
Read Your Mind,When you say that you really have changed
Read Your Mind,Finally found your way
Read Your Mind,'Cause I'm close to your face 
Read Your Mind,"Double-checkin', did I get the message in the way"
Read Your Mind,You intended? Got me second-guessin' when you
Read Your Mind,"Sneak up on me, tell me that you need me in your life"
Read Your Mind,I can't read your mind
Read Your Mind,You say that you need to be alone
Read Your Mind,"But night and day, want me at your beck and call"
Read Your Mind,You say  you know  that you might be crossin' a line
Read Your Mind,Wastin' all our time
Read Your Mind,To think that we could be casual
Read Your Mind,"You're not my friend and, baby, you never were"
Read Your Mind,Why the fuss if you say you just wanna be mine?
Read Your Mind,I can't read your mind
Read Your Mind,You say that you need to be alone
Read Your Mind,"But night and day, want me at your beck and call"
Read Your Mind,You say you know that you might be crossin' a line
Read Your Mind,I can't read your mind
Read Your Mind,You say that you need to be alone
Read Your Mind,"But night and day, want me at your beck and call "
Read Your Mind,You say you know that you might be crossin' a line
Read Your Mind,Wastin' all our time 
Read Your Mind,To think  that we could be casual
Read Your Mind,"You're not  my friend  and, baby, you never were"
Read Your Mind,Why  the fuss  if you say you just wanna be mine?
Read Your Mind,I can't read your mind
Read Your Mind,"Ha-ah-ah-ah, la, mm-mm"
Fast Times,Sun's up too soon like daylight savings
Fast Times,Mixed emotions are congregating
Fast Times,Picturin' us in all these places
Fast Times,Ahead of myself's an understatement
Fast Times,"Sky looks so purple, I can taste it"
Fast Times,"Couple days in, I call you ""baby"""
Fast Times,Three stories up here contemplatin'
Fast Times,But what the fuck is patience?
Fast Times,"These are fast times and fast nights, yeah"
Fast Times,"No time for rewrites, we couldn't help it"
Fast Times,"Outlines on bed sides, yeah"
Fast Times,Give me a second to forget I evеr really meant it
Fast Times,"Fast times and fast nights, yеah"
Fast Times,"Closed eyes and closed blinds, we couldn't help it"
Fast Times,"Outlines on bed sides, yeah"
Fast Times,Give me a second to forget I ever really meant it
Fast Times,My feelings used to be serrated
Fast Times,But you speak in such a perfect cadence
Fast Times,Tiptoeing past so many stages
Fast Times,But what the fuck is patience?
Fast Times,"These are fast times and fast nights, yeah"
Fast Times,"No time for rewrites, we couldn't help it"
Fast Times,"Outlines on bed sides, yeah"
Fast Times,Give me a second to forget I ever really meant it
Fast Times,"Fast times and fast nights, yeah"
Fast Times,"Closed eyes and closed blinds, we couldn't help it"
Fast Times,"Outlines on bed sides, yeah"
Fast Times,Give me a second to forget I ever really meant it
Fast Times,"These, these are"
Fast Times,These are the fast times
Fast Times,"These, these are"
Fast Times,These are the—
Fast Times,"Fast times and fast nights, yeah "
Fast Times,"No time for rewrites, we couldn't help it"
Fast Times,"Outlines on bed sides, yeah "
Fast Times,Give me a second to forget I ever really meant it
Fast Times,"Fast times and fast nights, yeah"
Fast Times,"Closed eyes and closed blinds, we couldn't help it"
Fast Times,"Outlines on bed sides, yeah"
Fast Times,Give me a second to forget I ever really meant it
And Jonas Blue Alien,"Mmm, no, hmm"
And Jonas Blue Alien,This feeling's so alien
And Jonas Blue Alien,Need to know if you're just a friend
And Jonas Blue Alien,Are you a secret I'm holdin' in?
And Jonas Blue Alien,So leave it on my brain if you feel the same
And Jonas Blue Alien,Lie but I notice it
And Jonas Blue Alien,Don't know the rules but I got to win
And Jonas Blue Alien,The paranoia is sinkin' in
And Jonas Blue Alien,So leave it on my brain if you feel the same
And Jonas Blue Alien,"Ooh, let me discover all of your colors"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"No, no, let me discover all of your colors"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,Don't let me leave when I'm standing at your door
And Jonas Blue Alien,Don't make me stop when you're really wanting more
And Jonas Blue Alien,When you're really wanting more
And Jonas Blue Alien,If you show me what you were thinking of
And Jonas Blue Alien,Let me get inside your mind
And Jonas Blue Alien,If you show me love it'll be enough
And Jonas Blue Alien,It'll be a better night
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,It'll be a better night
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,It'll be a better night
And Jonas Blue Alien,Alienated them
And Jonas Blue Alien,Right about when our love began
And Jonas Blue Alien,Emotions are moving in
And Jonas Blue Alien,"Getting in my space, livin' in my place"
And Jonas Blue Alien,When did these games begin?
And Jonas Blue Alien,I'm overthinking my thoughts again
And Jonas Blue Alien,"No, we don't break, but we're bound to bend"
And Jonas Blue Alien,"Getting in my space, livin' in my place"
And Jonas Blue Alien,"Ooh, let me discover all of your colors"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"No, no, let me discover all of your colors"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,Don't let me leave when I'm standing at your door
And Jonas Blue Alien,"Baby no, don't let me"
And Jonas Blue Alien,Don't make me stop when you're really wanting more
And Jonas Blue Alien,'Cause I know you're wanting more
And Jonas Blue Alien,If you show me what you were thinking of
And Jonas Blue Alien,Let me get inside your mind
And Jonas Blue Alien,If you show me love it'll be enough
And Jonas Blue Alien,It'll be a better night
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,It'll be a better night 
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,It'll be a better night 
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,It'll be a better night
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,"If you love me, let me know"
And Jonas Blue Alien,It'll be a better night
And Jonas Blue Alien,"A better night, yeah"
Exhale,Who put the baby in charge?
Exhale,It's already hard to buy all the parts and learn to use them
Exhale,Who put the world on my back and not in my hands?
Exhale,Just give me a chance
Exhale,"Listen to my mama, listen to my dad"
Exhale,"Listen to my sisters, everyone relax"
Exhale,Everybody answers shit I didn't ask
Exhale,Think I'm reaching my limit
Exhale,Can I exhale for a minute?
Exhale,Can I get this out in the open?
Exhale,Can I sit down for a second?
Exhale,Can I breathe?
Exhale,Can I exhale for a minute?
Exhale,Can we talk it out? I don't get it
Exhale,Can I calm down for a moment?
Exhale,Can I breathe for just one second?
Exhale,I put too much weight on words and glances
Exhale,"I, I put too much weight on situations"
Exhale,"I, I put too much on myself"
Exhale,"Thinking I don't deserve what I've earned, but yeah"
Exhale,"I listen to the labels, listen to the man"
Exhale,Try to keep a sense of knowing who I am
Exhale,"I try to be an angel, but I don't think I can"
Exhale,"Think I'm reaching my limits, yeah"
Exhale,Can I exhale for a minute?
Exhale,Can I get this out in the open?
Exhale,Can I sit down for a second?
Exhale,Can I breathe?
Exhale,Can I exhale for a minute?
Exhale,Can we talk it out? I don't get it
Exhale,Can I calm down for a moment?
Exhale,"Can I breathe for just one second, baby?"
Exhale,Can I breathe?
Exhale,Can I breathe?
Exhale,Can I breathe?
Exhale,Can I breathe?
Exhale,Can I breathe?
Exhale,Can I breathe?
Exhale,"Na-na-na, na-na-na, nay"
Exhale,"Na-na-na, na-na-na, nay"
Exhale,"Na-na-na, na-na-na, nay"
Exhale,"Na-na-na, na-na-na, nay"
Exhale,"Na-na-na, na-na-na"
Exhale,Na-na-na-na-na-na
How Many Things,You used a fork once
How Many Things,It turns out forks are fuckin' everywhere
How Many Things,There’s no hiding from the thought of us
How Many Things,I got ways to find you anywhere
How Many Things,We sat on the roof once
How Many Things,Conversation took us everywhere
How Many Things,And we talked until the sun came up
How Many Things,I wish we stayed just like we were up there
How Many Things,"I consider you, I'm not trying to"
How Many Things,It doesn't matter whether not I want to
How Many Things,"I can’t help it, it's a habit"
How Many Things,Your corner in my mind is well-established
How Many Things,I
How Many Things,I wonder how many things you think about before you get to me
How Many Things,"I wonder how many things you wanna do, you think I'm in-between"
How Many Things,I feel myself fallin' further down your priorities
How Many Things,And I still make excuses for you constantly
How Many Things,I wonder how many things you think about
How Many Things,"Before, before you get to me"
How Many Things,Remember when you left once?
How Many Things,That never made too much sense to me
How Many Things,"Well, it hurt you so bad hurting me"
How Many Things,You really came to me for sympathy
How Many Things,"Oh, I consider you and I'm not trying to"
How Many Things,It doesn't matter whether not I want to
How Many Things,"I can't help it, it's a habit"
How Many Things,Your corner in my mind is well-established
How Many Things,I
How Many Things,I wonder how many things you think about before you get to me
How Many Things,"I wonder how many things you wanna do, you think I’m in-between"
How Many Things,And I feel myself falling further down your priorities
How Many Things,And I still make excuses for you constantly
How Many Things,I wonder how many things you think about
How Many Things,"Before, before you get to me"
How Many Things,Am I not even a second thought?
How Many Things,I wonder how many things you think about before you get to me
How Many Things,"I wonder how many things you wanna do, you think I’m in-between"
How Many Things,I feel myself fallin' further down your priorities
How Many Things,And I still make excuses for you constantly
How Many Things,I wonder how many things you think about
How Many Things,"Before, before you get to me"
How Many Things,Wonder how many things
Needless To Say,Guess you think it's kinda funny
Needless To Say,All the boys who love-and-left me
Needless To Say,"In New York now, getting laid"
Needless To Say,Guess you think it's entertaining
Needless To Say,Early-twenties judgment
Needless To Say,"Oh, it gets you off, how much you love it"
Needless To Say,You need
Needless To Say,Need less to say about everything
Needless To Say,Need more to do than just focus on me
Needless To Say,Try working on you
Needless To Say,I promise you'll be much happier if you do
Needless To Say,"A pretty dress, an awkward angle"
Needless To Say,I bet you zoomed in close and held it up to show all of your friends
Needless To Say,"So much spite, I bet it's painful"
Needless To Say,One-way conversations
Needless To Say,How's the weather in your mother's basement?
Needless To Say,You need
Needless To Say,Need less to say about еverything
Needless To Say,Need more to do than just focus on me
Needless To Say,Try working on you
Needless To Say,I promisе you'll be much happier if you do
Needless To Say,You need
Needless To Say,Need lessons on immaturity
Needless To Say,Need more to do than just comment at me
Needless To Say,Try working on you
Needless To Say,I promise you'll be much happier if you do 
Needless To Say,You do
Needless To Say,Needless to say
Needless To Say,Needless to say
Needless To Say,Needless to say
Opposite,"Oh, so you do have a type and it's not me"
Opposite,"Oh, so you can reply, just to not me"
Opposite,If you wanted brown eyes
Opposite,I coulda got contacts
Opposite,"So y'all are in Paris now, guess it's public"
Opposite,Face like that other girl you're in love with
Opposite,You knew I would see that
Opposite,You knew I would notice
Opposite,She looks nothing like me
Opposite,"Can't really tell, should I be"
Opposite,Tryna take it as a compliment?
Opposite,It's kinda feelin' like the opposite
Opposite,She looks nothing like me
Opposite,So why do you look so happy?
Opposite,Now I think I get the cause of it
Opposite,You were holdin' out to find the opposite
Opposite,And I know now
Opposite,Even if I tried to change
Opposite,That somehow
Opposite,You'd end up with her anyway
Opposite,"Oh, I know now"
Opposite,Even if I tried to change
Opposite,That somehow
Opposite,You'd end up with her anyway
Opposite,Does she say nothin' so you feel good?
Opposite,Does she step out the spotlight so you bathe in it?
Opposite,Does she get up on top of you more than I would?
Opposite,Does she just love the picture 'cause you're paintin' it? 
Opposite,"I care, but I don't"
Opposite,"Just wonderin', when you "
Opposite,Said I'm beautiful
Opposite,Was I bein' lied to?
Opposite,She looks nothing like me
Opposite,"Can't really tell, should I be"
Opposite,Tryna take it as a compliment?
Opposite,It's kinda feelin' like the opposite
Opposite,She looks nothing like me
Opposite,So why do you look so happy?
Opposite,Now I think I get the cause of it
Opposite,You were holdin' out to find the opposite
Opposite,And I know now
Opposite,Even if I tried to change 
Opposite,That somehow
Opposite,You'd end up with her anyway
Opposite,"Oh, I know now"
Opposite,Even if I tried to change
Opposite,That somehow 
Opposite,You'd end up with her anyway 
Opposite,End up with her anyway
Looking At Me,Oh
Looking At Me,"Oh, yeah"
Looking At Me,Did I catch your attention?
Looking At Me,"You look like you lost your breath, huh"
Looking At Me,"When I circle the room, you an owl, you gon' twist your head"
Looking At Me,Don't you come at me green with an attitude
Looking At Me,When my lips and my soles are red
Looking At Me,"If I leave you behind, you can look for the broken necks"
Looking At Me,"No, no"
Looking At Me,'Cause I've been here once or twice
Looking At Me,Never worry 'bout the eyes 
Looking At Me,"Don't just stand there staring, honey"
Looking At Me,Try to move your feet
Looking At Me,If you think they looking at you
Looking At Me,They looking at me
Looking At Me,I could make it nice and easy
Looking At Me,I'ma take the lead
Looking At Me,"They ain't even looking at you, baby"
Looking At Me,They looking at me
Looking At Me,They looking at me
Looking At Me,"Yeah, yeah, they looking at me"
Looking At Me,"Yes, I'm young for a teacher, I'll teach you what you don't know"
Looking At Me,"But I can't give it up all at once, you would overdose"
Looking At Me,Don't you bring any bull in the room tonight
Looking At Me,It's a whole new rodeo
Looking At Me,"It could be you and me, but you know that I'll steal the show"
Looking At Me,Oh 
Looking At Me,'Cause I've been here once or twice
Looking At Me,Never worry 'bout the eyes
Looking At Me,Never worry 'bout the eyes 
Looking At Me,"Don't just stand there staring, honey"
Looking At Me,Try to move your feet
Looking At Me,If you think they looking at you
Looking At Me,They looking at me
Looking At Me,I could make it nice and easy
Looking At Me,I'ma take the lead 
Looking At Me,"They ain't even looking at you, baby"
Looking At Me,They looking at me
Looking At Me,They looking at me
Looking At Me,"Yeah, yeah, they looking at me ("
Looking At Me,They're looking at me
Looking At Me,)
Looking At Me,"But they looking at me, babe ("
Looking At Me,They're looking at me
Looking At Me,)
Looking At Me,"'Cause they looking at me, baby"
Looking At Me,They're looking at me
Looking At Me,They're looking at me
Looking At Me, 
Looking At Me,"If I leave you behind, you can look for the broken necks"
Looking At Me,"Don't just stand there staring, honey "
Looking At Me,Try to move your feet 
Looking At Me,If you think they looking at you
Looking At Me,They looking at me
Looking At Me,I could make it nice and easy
Looking At Me,I'ma take the lead
Looking At Me,"They ain't even looking at you, baby"
Looking At Me,They looking at me
Looking At Me,They looking at me
Looking At Me,"Yeah, yeah, they looking at me"
Looking At Me,(
Looking At Me,They're looking at me
Looking At Me,)
Looking At Me,Don't you know that they looking at me?
Looking At Me,(
Looking At Me,They're looking at me
Looking At Me,)
Looking At Me,They looking at me
Already Over,We been talkin' for hours
Already Over,'Bout how we shouldn't talk for hours on end
Already Over,Kissin' after a conversation
Already Over,'Bout how we'd probably be better off as friends
Already Over,Same time here next weekend
Already Over,Say we won't do this again
Already Over,Make me fall where I stand
Already Over,Only like you can
Already Over,"Yeah, I say I'm done, but I'm still confused"
Already Over,How am I supposed to close the door when I still need the closure?
Already Over,"And I change my mind, but it's still on you"
Already Over,How am I supposed to leave you now that you're already over?
Already Over,How am I supposed to leave you now that you're already over?
Already Over,Selfishly don't wanna give you
Already Over,Time to be on someone else's lips 
Already Over,But I'll take three short hours over
Already Over,"Three long weeks pretendin' like we don't exist, hmm "
Already Over,Same time here next weekend
Already Over,Say we won't do this again
Already Over,Make me fall where I stand
Already Over,Only like you can
Already Over,"Yeah, I say I'm done, but I'm still confused"
Already Over,How am I supposed to close the door when I still need the closure?
Already Over,"And I change my mind, but it's still on you"
Already Over,How am I supposed to leave you now that you're already over?
Already Over,How am I supposed to leave you now that you're already over?
Already Over,"After the aftermath, I know you'll be comin' back"
Already Over,To the back bedroom and it won't be the last
Already Over,"Of the aftermath, I know you'll be comin' back"
Already Over,To the back bedroom and it won't be the last time
Already Over,"I say I'm done, but I'm still confused"
Already Over,How am I supposed to close the door when I still need the closure? 
Already Over,"And I change my mind, but it's still on you"
Already Over,How am I supposed to leave you now that you're already over?
Already Over,"Yeah, I like my bed, but it likes you too"
Already Over,How am I supposed to leave you now that you're already over?
Almost Love,"Ah yeah, yeah, yeah"
Almost Love,The moment when the light is red before the go
Almost Love,The moment when the curtain's down before the show
Almost Love,"The moment when you're done, but maybe just one more"
Almost Love,That's how I feel before I get you all alone
Almost Love,We could give it a minute
Almost Love,But what's the fun in a minute?
Almost Love,When we could push all the limits
Almost Love,"Ah yeah, yeah, yeah, yeah"
Almost Love,Shirt hanging off my shoulders
Almost Love,Both hands wanna hold ya
Almost Love,"So baby, what's the hold up?"
Almost Love,"Yeah, yeah"
Almost Love,Can you feel the tension rising?
Almost Love,"Now you're, now you're getting it close"
Almost Love,"Now you're, now you're getting it close"
Almost Love,"Almost love, it's almost love"
Almost Love,Speed this up 'cause I'm excited
Almost Love,"No more, no more taking it slow"
Almost Love,"No more, no more taking it slow"
Almost Love,"Almost love, it's almost love"
Almost Love,Almost love
Almost Love,"Almost love, but it could be love"
Almost Love,Almost love
Almost Love,"Almost love, but it could be love"
Almost Love,Almost lo-lo-love
Almost Love,"Almost love, but it could be love"
Almost Love,It could be love
Almost Love,"It could be, yeah"
Almost Love,I want you like a midnight hour wants a view
Almost Love,I want you like a loner wants an empty room
Almost Love,I want you like a kiss that's long and overdue
Almost Love,I need you more than I have ever needed you
Almost Love,And we could give it a minute
Almost Love,But what's the fun in a minute?
Almost Love,When we could push all the limits
Almost Love,"Ah yeah, yeah, yeah, yeah"
Almost Love,Shirt hanging off my shoulders
Almost Love,Both hands wanna hold ya
Almost Love,"So baby, what's the hold up?"
Almost Love,Yeah
Almost Love,Can you feel the tension rising?
Almost Love,"Now you're, now you're getting it close"
Almost Love,"Now you're, now you're getting it close"
Almost Love,"Almost love, it's almost love"
Almost Love,Speed this up 'cause I'm excited
Almost Love,"No more, no more taking it slow"
Almost Love,"No more, no more taking it slow"
Almost Love,"Almost love, it's almost love"
Almost Love,Almost love
Almost Love,"It's almost love, but it could be love"
Almost Love,Almost love
Almost Love,"Almost love, but it could be love"
Almost Love,Almost lo-lo-lo-lo-love
Almost Love,"Almost love, but it could be love"
Almost Love,It could be love
Almost Love,"It could be, yeah, oh no"
Almost Love,We could give it a minute
Almost Love,But what's the fun in a minute?
Almost Love,Can you feel the tension rising?
Almost Love,Now you're getting it so close
Almost Love,Now you're getting this so close
Almost Love,"Almost love, almost love"
Almost Love,"Oh, 'cause I'm excited"
Almost Love,"No more, no more taking it slow"
Almost Love,"No more, no more taking it slow"
Almost Love,It's almost love
Almost Love,"Almost love, oh baby, oh"
Almost Love,"It's almost love, but it could be love"
Almost Love,"'Cause it's almost love, but it could be love"
Almost Love,Almost love and you know
Almost Love,Almost love
Almost Love,But it could be love
Almost Love,"'Cause it's almost love, but it could be love"
Almost Love,"Yeah, it could be love, eh"
Paris,"If I asked that boy to jump, I know he would"
Paris,"He don't even have to say, it's understood"
Paris,"He treat me nice, he treat me right, he treat me good"
Paris,"Still I get so hesitant, still I get so hesitant"
Paris,So I took myself where I think I should be
Paris,Something told me that it's waiting here for me
Paris,"Parisian nights, Parisian high, Parisian breeze"
Paris,"Feeding me like medicine, feeding me like medicine, yeah"
Paris,It's so romantic in Paris
Paris,Won't even try to compare it
Paris,Thought I was sure that I'd find it
Paris,But I already have love in L.A. 
Paris,It's so romantic in Paris
Paris,Won't even try to compare it
Paris,Thought I was sure that I'd find it
Paris,But I already have love in L.A. 
Paris,"Yeah, I already have love in L.A. "
Paris,"If you show me too much love, it makes me leave "
Paris,Guess that's one of many things that's wrong with me 
Paris,Looking past you when you're right in front of me
Paris,"I won't do that anymore, I won't do that anymore "
Paris,Why'd it take so long for me to know this? 
Paris,Scared to put the water with the roses 
Paris,Halfway 'cross the world for me to notice
Paris,"But I notice, yeah, I notice, yeah"
Paris,It's so romantic in Paris
Paris,Won't even try to compare it
Paris,Thought I was sure that I'd find it
Paris,But I already have love in L.A. 
Paris,It's so romantic in Paris
Paris,Won't even try to compare it
Paris,Thought I was sure that I'd find it
Paris,But I already have love in L.A. 
Paris,Je ne voulais pas trouver l'amour
Paris,Mais Paris a quelque chose
Paris,"Qui donne envie d'aimer, d'aimer passionnément"
Paris,Mon cœur est à toi pour toujours
Paris,You will always have my heart
Paris,It's so romantic in Paris
Paris,Won't even try to compare it
Paris,Thought I was sure that I'd find it
Paris,But I already have love in L.A. (
Paris,Already have love
Paris,)
Paris,It's so romantic in Paris (
Paris,So romantic in Paris
Paris,)
Paris,Won't even try to compare it (
Paris,I know that I try
Paris,)
Paris,Thought I was sure that I'd find it
Paris,But I already have love in L.A. 
Paris,"It's so romantic in Paris, babe"
Paris,Won't even try to compare it (
Paris,"Won't even try, won't even try"
Paris,)
Paris,Thought I was sure that I'd find it (
Paris,"Thought I was sure, I was sure"
Paris,)
Paris,But I already have love in L.A. 
Paris,But I already have love in L.A. 
Things I Wish You Said,"""Baby, sorry I left you in the dark"""
Things I Wish You Said,"""I always reach for your leg over there on your side of the car"""
Things I Wish You Said,"""Baby, everything reminds me of you"""
Things I Wish You Said,"""Nobody gets my jokes, everyone here thinks I'm fuckin' rude"""
Things I Wish You Said,"""When I saw you cry, I didn't handle it well"""
Things I Wish You Said,"""Without you here, I don't know what to do with myself"""
Things I Wish You Said,I think about these things at night before I fall asleep
Things I Wish You Said,Things I wish you said to me
Things I Wish You Said,"Things like, ""Darlin', I hope you know it scared me to death"
Things I Wish You Said,"The night that your sister said that you got in an accident"""
Things I Wish You Said,"""And God, I, I'm watchin' everything that you do"""
Things I Wish You Said,"""I can't get your songs out of my head or your hair out of my room"""
Things I Wish You Said,"""I saw you met somebody and I'm jealous as hell"
Things I Wish You Said,"That I can't even stomach lovin' somebody else"""
Things I Wish You Said,I think about these things at night before I fall asleep
Things I Wish You Said,Things I wish you said to me
Things I Wish You Said,Ooh
Things I Wish You Said,"Ooh, ah"
Things I Wish You Said,"""Sorry that I pulled the 'it's not you, it's me'"""
Things I Wish You Said,"""One day, I'll make sure you get a real apology"""
Things I Wish You Said,"I waste my time, I waste my life on idiotic things"
Things I Wish You Said,Like things you never said
Things I Wish You Said,Things you'll never say to me
Cindy Lou Who,I saw you laughin' in one of his pictures
Cindy Lou Who,Bet you'll be the one with his ring on your finger
Cindy Lou Who,"There's red and green everywhere, but I'm so blue"
Cindy Lou Who,Cindy Lou Who
Cindy Lou Who,Maybe he met you somewhere in the desert
Cindy Lou Who,"While he was soul-searchin', he found someone better"
Cindy Lou Who,Guess you make him happy like I couldn't do
Cindy Lou Who,Cindy Lou Who
Cindy Lou Who," With your hair so long, lips so red"
Cindy Lou Who," Maybe we met once, I forget"
Cindy Lou Who," Scrollin' five yеars back, I'm obsessed"
Cindy Lou Who,"Breakin' my hеart, 'tis the season, I guess"
Cindy Lou Who," With your hair so long, lips so red"
Cindy Lou Who, If you're wakin' up now in his old bed
Cindy Lou Who," At his family's house, know that you're just"
Cindy Lou Who,"Breakin' my heart, 'tis the season, I guess"
Cindy Lou Who,The snow's gonna fall and the tree's gonna glisten
Cindy Lou Who,And I'm gonna puke at the thought of you kissin'
Cindy Lou Who,The boy who I love is now in love with you
Cindy Lou Who,Cindy Lou Who
Cindy Lou Who,"I told all my friends, they said it can't be true"
Cindy Lou Who,Cindy Lou Who
Cant Blame A Girl For Trying,"Here I am again, the same old situation"
Cant Blame A Girl For Trying,Why does the guy thing have to be so complicated?
Cant Blame A Girl For Trying,"I should've played it cool, instead, I made a fool"
Cant Blame A Girl For Trying,"Oh, the things I do"
Cant Blame A Girl For Trying,'Cause I'm young and I'm dumb
Cant Blame A Girl For Trying,I do stupid things when it comes to love
Cant Blame A Girl For Trying,And even if I always end up crying
Cant Blame A Girl For Trying,"Well, you can't blame a girl for trying"
Cant Blame A Girl For Trying,"Oh, oh"
Cant Blame A Girl For Trying,"No, you can't blame a girl for trying"
Cant Blame A Girl For Trying,"Ooh, ooh"
Cant Blame A Girl For Trying,"I should've shut my mouth, I could've kept it quiet"
Cant Blame A Girl For Trying,I might have freaked him out 'cause I was so excited
Cant Blame A Girl For Trying,"But I just couldn't wait, I took a leap of faith"
Cant Blame A Girl For Trying,"Oh, the things I say"
Cant Blame A Girl For Trying,'Cause I'm young and I'm dumb
Cant Blame A Girl For Trying,I do stupid things when it comes to love
Cant Blame A Girl For Trying,And even if I always end up crying
Cant Blame A Girl For Trying,"Well, you can't blame a girl for trying"
Cant Blame A Girl For Trying,"Oh, oh"
Cant Blame A Girl For Trying,"No, you can't blame a girl for trying"
Cant Blame A Girl For Trying,"Oh, no, no"
Cant Blame A Girl For Trying,And I think sometimes
Cant Blame A Girl For Trying,I tend to be my own worst enemy
Cant Blame A Girl For Trying,And maybe someday
Cant Blame A Girl For Trying,I'm gonna catch a shooting star falling out of the blue
Cant Blame A Girl For Trying,Doing what I do
Cant Blame A Girl For Trying,"And just as I'm giving up, my heart is palpitating"
Cant Blame A Girl For Trying,"Here comes another one, it's so intoxicating"
Cant Blame A Girl For Trying,"And being where I've been, I know that in the end"
Cant Blame A Girl For Trying,I'll do it all again
Cant Blame A Girl For Trying,'Cause I'm young and I'm dumb
Cant Blame A Girl For Trying,I do stupid things when it comes to love
Cant Blame A Girl For Trying,And even if I always end up crying
Cant Blame A Girl For Trying,"Well, love will find me, there ain't no denying"
Cant Blame A Girl For Trying,That you can't blame a girl for trying
Cant Blame A Girl For Trying,"Oh, oh"
Cant Blame A Girl For Trying,"No, you can't blame a girl for trying"
Cant Blame A Girl For Trying,Mmm
Cant Blame A Girl For Trying,Oh-ooh
Bet U Wanna,"Told me, told me I'm your only"
Bet U Wanna,"It's all unfoldin', babe"
Bet U Wanna,"Slowly, slowly, lies you sold me"
Bet U Wanna,All saw the light of day
Bet U Wanna,You been wastin' time on the other side
Bet U Wanna,"If you're satisfied, touché"
Bet U Wanna,Now you say you hate all the empty space
Bet U Wanna,"And if you could go back, you'd stay"
Bet U Wanna,Didn't think about it when you let me down
Bet U Wanna,Hurts to see me outta your reach
Bet U Wanna,Bet you wanna touch me now
Bet U Wanna,"It's cold out there, let me know what you found"
Bet U Wanna,Bet you wanna love me now
Bet U Wanna,Bet you wanna love me now
Bet U Wanna,"Chase me, chase me, that's right, baby"
Bet U Wanna,"Yeah, feel the way it feels"
Bet U Wanna,When you don't havе control of who I'm holdin'
Bet U Wanna,Is it feedin' all your fears?
Bet U Wanna,You been wastin' time on the othеr side
